-1        -1.30139       -3.60278       -1.46664       -2.92888       -1.43766       -2.77837       -2.47864
-2        -2.30103       -6.60207         -2.453       -4.92867        -2.4501       -4.77815       -4.47714
-3        -3.30103       -9.60212       -3.45169       -6.92867        -3.4514       -6.77815       -6.47712
-4        -4.30103        -1.#INF       -4.45156       -8.92864       -4.45153       -8.77812       -8.47714
-5        -5.30103        -1.#INF       -5.45155        -10.855       -5.45154        -10.995       -10.2925
-6        -6.30099       -9.95459       -6.45155       -11.5434       -6.45155       -10.0839       -9.71454
-7        -7.30138        -1.#INF       -7.45288        -9.5522       -7.44603       -9.23369       -8.77106
-8         -1.#INF       -7.95459       -7.84917       -8.51566        -8.0941       -8.21628       -7.76498
-9         -1.#INF        -1.#INF       -7.43941       -7.71774       -7.12688       -7.08228       -6.71273
-10         -1.#INF        -1.#INF       -6.73122       -6.73122       -6.73122       -7.08228       -7.08228
-11         -1.#INF        -1.#INF        -5.2704       -6.73122       -5.24133       -7.08228       -7.08228
-12         -1.#INF        -1.#INF       -5.24133       -5.24133       -5.24133        -4.0511       -3.69914
-13         -1.#INF        -1.#INF       -3.97763       -3.97763       -3.97763        -3.0973       -2.71908
-14         -1.#INF        -1.#INF       -2.46395       -2.67466       -2.11542        -3.0973        -3.0973
-15         -1.#INF        -1.#INF        -1.1546       -1.83749        -1.3875      -0.957728      -0.655126
-16         -1.#INF        -1.#INF       -0.39457       -0.81817      -0.150515              0       0.324328
-17         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-18         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-19         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-20         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
