-1        -1.30139        -3.6032       -1.46664       -2.92887       -1.43766       -2.77843        -2.4786
-2        -2.30096       -5.70046       -2.45301       -4.96227       -2.45033        -4.7549       -4.49072
-3        -3.32163       -4.33418       -3.46748       -4.77447       -3.42662       -4.33151       -3.97187
-4         -1.#INF             -4       -3.39748        -3.9897       -3.70858       -3.77974       -3.78005
-5         -1.#INF             -5       -2.65984       -2.65984       -2.65984       -2.86705       -2.86701
-6         -1.#INF       -6.00001       -2.08889       -2.08889       -2.08889       -1.33418       -0.97498
-7         -1.#INF       -7.00035      -0.954441      -0.954441      -0.954441      -0.716488      -0.716488
-8         -1.#INF       -7.95459      -0.150515      -0.150515      -0.150515              0              0
-9         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-10         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-11         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-12         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-13         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-14         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-15         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-16         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-17         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-18         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-19         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
-20         -1.#INF        -1.#INF      -0.150515      -0.150515      -0.150515              0              0
